原始谓词,规范谓词,断言数
raw:保护对象,raw:保护对象,41
raw:协助关系,collaborated_with,41
raw:带领,raw:带领,41
raw:活捉,raw:活捉,41
raw:突破,raw:突破,41
raw:赠送,raw:赠送,41
raw:进攻目标,raw:进攻目标,41
raw:事件地点关联,raw:事件地点关联,40
raw:勾结,raw:勾结,40
raw:协同,collaborated_with,40
raw:参与关系,participated_in,40
raw:担任书记,raw:担任书记,40
raw:行动关联,raw:行动关联,40
commemorates,commemorates,39
raw:举办地,raw:举办地,39
raw:会议地点,raw:会议地点,39
raw:传达指示,raw:传达指示,39
raw:实施,implemented,39
raw:实践,raw:实践,39
raw:策应,raw:策应,39
raw:覆盖,raw:覆盖,39
raw:贡献,raw:贡献,39
raw:介绍关系,introduced,38
raw:会合,met_with,38
raw:关联地点-事件,raw:关联地点-事件,38
raw:协作,raw:协作,38
raw:安葬,raw:安葬,38
raw:实施地,occurred_at,38
raw:策反关系,raw:策反关系,38
raw:组织-活动,raw:组织-活动,38
raw:记录者,raw:记录者,38
raw:领导区域,raw:领导区域,38
spouse_of,spouse_of,38
comrade_of,comrade_of,37
formulated,formulated,37
mentioned_in,raw:mentioned_in,37
raw:人物与事件,raw:人物与事件,37
raw:条约,raw:条约,37
raw:演变,raw:演变,37
raw:策动,raw:策动,37
raw:路线,raw:路线,37
administratively_in,administratively_in,36
raw:代表,raw:代表,36
raw:历史背景,raw:历史背景,36
raw:发表,raw:发表,36
raw:发起人,organized,36
raw:地点-人物,raw:地点-人物,36
raw:场所,raw:场所,36
raw:实施区域,raw:实施区域,36
raw:改编为,raw:改编为,36
raw:组建于,raw:组建于,36
raw:背景事件,raw:背景事件,36
raw:转移地点,raw:转移地点,36
raw:领导活动区域,raw:领导活动区域,36
raw:交涉,raw:交涉,35
raw:人物,raw:人物,35
raw:出卖,raw:出卖,35
raw:围歼,raw:围歼,35
raw:宣言,raw:宣言,35
raw:导致,influenced,35
raw:工作关联,raw:工作关联,35
raw:影响关系,influenced,35
raw:战斗关联,raw:战斗关联,35
raw:派往,raw:派往,35
raw:组成关系,raw:组成关系,35
raw:组织发展,raw:组织发展,35
raw:统战工作,raw:统战工作,35
raw:联合,raw:联合,35
raw:选举,raw:选举,35
originated_from_event,raw:originated_from_event,34
raw:书写,raw:书写,34
raw:事件参与者,raw:事件参与者,34
raw:参与者-事件,participated_in,34
raw:打入,raw:打入,34
raw:执行主体,raw:执行主体,34
raw:改编关系,raw:改编关系,34
raw:策划者,organized,34
raw:组织者-组织,raw:组织者-组织,34
raw:行为,raw:行为,34
raw:输送,raw:输送,34
raw:领导于,raw:领导于,34
raw:人-事,raw:人-事,33
raw:从事,raw:从事,33
raw:作战目标,raw:作战目标,33
raw:发布者,raw:发布者,33
raw:战斗发生地,occurred_at,33
raw:清剿,raw:清剿,33
raw:组织-下属,raw:组织-下属,33
raw:调任,raw:调任,33
raw:转战于,raw:转战于,33
raw:迎接,raw:迎接,33
raw:通过,raw:通过,33
raw:领导事件,led,33
raw:举办,raw:举办,32
raw:会师,met_with,32
raw:关联文献,raw:关联文献,32
raw:劝降,raw:劝降,32
raw:发展对象,raw:发展对象,32
raw:工作区域,raw:工作区域,32
raw:接收,raw:接收,32
raw:收录,raw:收录,32
raw:活动据点,stationed_at,32
raw:组织-事,raw:组织-事,32
raw:组织-执行,carried_out,32
raw:继任,raw:继任,32
raw:职务关系,raw:职务关系,32
raw:资助,raw:资助,32
raw:进入,raw:进入,32
raw:争取对象,raw:争取对象,31
raw:人,raw:人,31
raw:人物与地点,raw:人物与地点,31
raw:关联物,raw:关联物,31
raw:击毙,raw:击毙,31
raw:反映,raw:反映,31
raw:取得,raw:取得,31
raw:命令,commanded,31
raw:坚守,raw:坚守,31
raw:影响范围,influenced,31
raw:战略转移,raw:战略转移,31
raw:指挥者-事件,commanded,31
raw:揭露,raw:揭露,31
raw:支持者,raw:支持者,31
raw:管辖范围,raw:管辖范围,31
raw:纠正,raw:纠正,31
raw:经过地,raw:经过地,31
raw:联络对象,raw:联络对象,31
embodied_by_organization,raw:embodied_by_organization,30
raw:任教,raw:任教,30
raw:决策关联,raw:决策关联,30
raw:击溃,raw:击溃,30
raw:发起者,raw:发起者,30
raw:情报联络,contacted,30
raw:战役关联,raw:战役关联,30
raw:战略关联,raw:战略关联,30
raw:执行任务,raw:执行任务,30
raw:活动场所,stationed_at,30
raw:涉及区域,raw:涉及区域,30
raw:组织地点,raw:组织地点,30
raw:设立于,located_in,30
raw:通知,raw:通知,30
raw:颁布,raw:颁布,30
raw:任务指派,raw:任务指派,29
raw:任职关联,raw:任职关联,29
raw:会师于,raw:会师于,29
raw:传播地,raw:传播地,29
raw:出席,participated_in,29
raw:分配,raw:分配,29
raw:制定者,raw:制定者,29
raw:参与活动,raw:参与活动,29
raw:参加,member_of,29
raw:因果,influenced,29
raw:地理隶属,raw:地理隶属,29
raw:实施主体,raw:实施主体,29
raw:实施区域,occurred_at,29
raw:工作单位,worked_at,29
raw:工作地,worked_at,29
raw:建立于,raw:建立于,29
raw:战斗区域,fought_at,29
